"date","state","state_fips_code","county_name","geo_id","median_age","male_pop","female_pop","total_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","employed_pop","unemployed_pop","walked_to_work","commute","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above"
"2021-01-19","VT",50,"Essex County",50009,50,3135,3068,6203,5929,64,32,83,20,6,38767,1650,802,193,75,2784,149,81,8809,677,900,1701,603,924,1657
"2021-01-19","VT",50,"Chittenden County",50007,36.6,78928,82057,160985,143657,4091,6144,3542,374,240,66906,24184,20318,11615,8789,90054,3827,6859,267029,20796,32947,27110,20668,32285,30864
"2021-01-19","DE",10,"Kent County",10001,37.3,83544,89601,173145,108627,41729,3459,11820,967,377,57647,27659,21746,8704,5272,78078,5563,1379,261871,24873,31121,29975,23801,33109,35761
"2021-01-19","RI",44,"Washington County",44009,44.1,61154,65036,126190,115206,1621,2436,3769,1047,260,77862,16334,14204,9953,9117,64576,4142,1725,209724,15755,20438,27238,16106,20580,30387
"2021-01-19","NH",33,"Belknap County",33001,46.7,29705,30678,60383,57523,285,579,951,130,65,65834,9365,8472,3886,2856,30674,1589,449,101638,6834,9663,14520,6541,9882,15317
"2021-01-19","RI",44,"Newport County",44005,44.6,40952,42252,83204,71549,2596,1670,4623,290,159,75463,12051,10443,6530,6397,41471,2349,2749,137937,9057,15262,18187,9040,14232,20449
"2021-01-19","VT",50,"Lamoille County",50015,40.5,12504,12687,25191,23895,214,161,408,208,0,54899,4803,3240,1411,947,13437,526,536,43199,3293,4659,5045,3317,4489,5218
"2021-01-19","CT",9,"Tolland County",9013,37.9,76162,75434,151596,129519,4425,6690,7860,38,336,81312,16508,16815,10705,10850,80613,4962,3533,251187,21806,28436,27876,21270,26221,30288
"2021-01-19","VT",50,"Addison County",50001,43.4,18214,18611,36825,34245,337,711,795,94,57,61875,5965,5122,2363,1251,19872,907,1466,61001,4747,6130,7914,4614,6228,8340
"2021-01-19","VT",50,"Caledonia County",50005,43.7,15366,15210,30576,29070,272,186,460,65,9,47371,6387,3736,1339,632,14475,741,535,45713,4099,5144,6640,3647,4865,7125
"2021-01-19","MA",25,"Nantucket County",25019,39.8,5804,5108,10912,8050,873,260,943,64,32,91942,936,1043,842,940,6408,251,764,19813,1349,2489,2154,1194,1962,2137
"2021-01-19","MA",25,"Plymouth County",25023,42.6,247788,261326,509114,416813,44804,6218,18664,502,11729,82081,57107,52356,36945,37787,261653,16789,3669,884184,67880,87565,100105,64428,89932,115448
"2021-01-19","MA",25,"Barnstable County",25001,52.4,102152,111748,213900,192917,5699,3111,5869,918,1515,68048,35223,30327,16605,12856,104246,6012,2562,331188,20599,29932,56397,18974,30117,68546
"2021-01-19","NH",33,"Cheshire County",33005,42.5,37199,38910,76109,71930,506,970,1302,125,56,60148,12742,10522,4510,2755,40037,1883,1329,125771,9223,13283,15797,9733,12812,17522
"2021-01-19","MA",25,"Berkshire County",25003,46.5,61741,66010,127751,113686,3280,2088,5461,253,323,55190,25296,16342,7880,5545,63947,4701,3730,206175,14410,20628,29164,14224,20783,33658
"2021-01-19","MA",25,"Franklin County",25011,45.9,34663,36263,70926,64668,879,1051,2669,132,73,57307,13424,9972,4213,2903,36953,2281,1524,117596,7878,12096,16211,7188,12202,17959
"2021-01-19","NH",33,"Grafton County",33009,42.9,43952,45328,89280,81439,901,2998,1984,370,29,61036,14465,11195,4681,4515,45847,1934,3440,142250,10856,15461,19129,10428,15594,20807
"2021-01-19","NH",33,"Carroll County",33003,51.4,23734,23790,47524,45668,233,279,649,37,10,58139,8991,7056,3115,2041,23324,1146,503,77420,4826,6882,13283,4236,6855,13544
"2021-01-19","CT",9,"Litchfield County",9005,46.9,91198,93256,184454,164992,2843,3516,10510,267,166,76438,23580,24136,14550,12339,98166,6295,2292,321604,21234,30482,42876,19746,30052,46593
"2021-01-19","VT",50,"Grand Isle County",50013,48.1,3432,3518,6950,6479,13,33,124,50,8,66111,1016,1151,452,333,3766,195,54,12313,743,1079,1759,708,1133,1768
"2021-01-19","MA",25,"Dukes County",25007,45.9,8282,8993,17275,15021,645,53,280,271,213,67535,2264,1701,1136,1038,9172,282,451,25552,1872,2776,4058,1967,2850,4360
"2021-01-19","VT",50,"Orleans County",50019,45.4,13534,13417,26951,25734,115,90,367,146,36,45664,6122,3666,1093,617,12227,558,365,38963,3145,4597,6391,3106,4242,6585
"2021-01-19","VT",50,"Bennington County",50003,46.6,17689,18365,36054,34160,289,140,632,31,18,52251,7287,4814,1742,1437,17605,804,834,55283,4501,5503,8367,3914,5796,9381
"2021-01-19","NH",33,"Merrimack County",33013,42.8,72864,75094,147958,137801,1740,2628,2936,123,105,69856,20208,19283,10068,7688,77527,3239,1939,247920,18420,26705,29882,17420,26158,33722
"2021-01-19","VT",50,"Windham County",50025,46.8,21172,22160,43332,40499,343,441,948,46,12,50831,9363,6108,2169,1419,21882,1300,1143,63443,4971,6949,10017,4564,7071,11203
"2021-01-19","NH",33,"Strafford County",33017,37,61938,64614,126552,115654,1041,4041,2792,59,85,67805,18218,15954,8304,6067,69103,3189,3146,217855,17019,24313,22121,17330,24318,24579
"2021-01-19","NH",33,"Sullivan County",33019,46.1,21263,21810,43073,41105,184,266,620,145,2,59419,7505,6356,2655,1264,21646,837,665,70266,4879,7332,9915,4740,7061,10794
"2021-01-19","RI",44,"Bristol County",44001,44.1,23625,25403,49028,45446,617,980,1336,16,17,74630,6692,5502,3341,3986,25027,1105,971,81158,6252,7982,10127,6201,7993,12156
"2021-01-19","CT",9,"Middlesex County",9007,45.1,80227,83883,164110,138523,8046,4780,9612,156,331,81673,20175,19256,13245,13923,88344,4715,2481,285533,19254,28347,35643,18163,28497,39536
"2021-01-19","VT",50,"Washington County",50023,43.5,28997,29694,58691,55387,468,379,1087,155,38,60602,10203,8436,3811,2269,31703,1300,1894,97954,7409,10224,12257,6634,10247,13806
"2021-01-19","VT",50,"Windsor County",50027,47.4,27171,28314,55485,52696,393,443,833,84,67,56828,10556,8046,3119,2400,28099,1315,1132,89176,6074,8897,13245,5763,8907,14831
"2021-01-19","NH",33,"Rockingham County",33015,44.1,149778,152701,302479,281776,1983,5808,8054,314,182,85619,31733,37191,25194,25837,170757,7729,2829,557798,36267,54351,63680,34435,54032,68746
"2021-01-19","CT",9,"Windham County",9015,41,57906,58768,116674,97434,2110,1519,12946,26,79,62553,17701,14776,7749,4303,59022,4857,1690,188610,15075,22000,22386,14526,21064,24663
"2021-01-19","CT",9,"New London County",9011,41,135581,135191,270772,206261,14093,11128,27186,1221,375,69411,37096,35213,18465,16419,133786,10006,4950,446174,33947,52103,53580,31503,48356,59698
"2021-01-19","VT",50,"Orange County",50017,45.7,14358,14543,28901,27649,188,95,386,117,16,56584,5388,4284,1698,905,15343,682,574,47762,3550,4684,6650,3039,4874,7209
"2021-01-19","NH",33,"Coos County",33007,48,16923,15196,32119,30058,739,182,549,137,11,45386,7528,4178,1504,669,14728,957,455,48795,3364,6092,8204,2937,4635,8214
"2021-01-19","VT",50,"Rutland County",50021,46.4,29275,30401,59676,57018,445,632,817,206,39,52635,12023,8700,2891,1546,30152,1479,1502,95398,7025,9668,13819,6581,9538,15478
"2021-01-19","MA",25,"Hampden County",25013,38.7,226391,242797,469188,300617,36646,10126,112302,622,827,52205,85994,51111,24979,16847,215324,18630,6389,683832,64779,84012,83447,61587,88655,99467
"2021-01-19","MA",25,"Essex County",25009,40.8,373886,401974,775860,558478,23782,26448,152189,619,2169,73533,103455,82527,48677,57000,397621,25451,12777,1283690,102432,138674,143876,98504,144337,170050
"2021-01-19","MA",25,"Bristol County",25005,40.9,269719,287297,557016,461175,19353,12214,40913,175,9525,62514,89920,62230,35342,28411,278538,20762,6871,921454,71112,103237,102807,68579,106459,120356
"2021-01-19","RI",44,"Kent County",44003,43.7,79338,84674,164012,146824,2191,4078,7165,139,411,69047,25287,21732,13257,8737,87822,5743,803,284310,18823,29992,32985,17608,30249,39121
"2021-01-19","VT",50,"Franklin County",50011,39.9,24251,24565,48816,45986,302,151,701,256,190,62214,7071,6894,3139,1545,25865,1186,816,85205,6665,8912,9373,6121,9055,10078
"2021-01-19","DE",10,"Sussex County",10005,48.3,104514,111037,215551,161347,26144,2546,19860,758,432,57901,37150,29125,11666,8381,94271,6114,1523,300589,24233,32243,53294,23549,32385,59703
"2021-01-19","MA",25,"Middlesex County",25017,38.5,773112,809745,1582857,1160650,76708,176740,121171,1711,8720,92878,165161,150773,112873,164977,862873,43396,42104,2729726,198033,323380,269934,190563,325476,315172
"2021-01-19","CT",9,"Hartford County",9003,40.4,435729,461688,897417,560997,114711,45178,154977,1338,2400,69936,128832,101405,59052,59582,445468,35391,8964,1407590,116124,167510,164067,111324,168255,195442
